Solution,RMSE
"[0.65161299 0.16753167 0.17651193 0.60306611 0.4161666  0.55395388
 0.72858165 0.76801554 0.1964076  0.04563913 0.88508305 0.03191977
 0.38924923 0.54401662 0.71534121 0.64656479 0.7366478  0.10485273
 0.78838949 0.17252411 0.81134089 0.53645066 0.88094362 0.43162618
 0.37637068 0.13068449]",0.11326800194947545
"[0.63944189 0.16753167 0.13809513 0.60306611 0.3538046  0.58377932
 0.68303202 0.79469488 0.16532121 0.00711473 0.88508305 0.03340349
 0.39967522 0.5615174  0.69469426 0.60629482 0.66396553 0.11783321
 0.79551031 0.19628203 0.79806601 0.60993909 0.90980243 0.45552274
 0.41621849 0.18742664]",0.06233902306014941
"[0.6309515  0.15207172 0.19143056 0.56089916 0.33588821 0.56012004
 0.7111636  0.76122514 0.20385064 0.02157883 0.89936501 0.08170135
 0.37801069 0.54545998 0.76172658 0.61558645 0.717291   0.10228769
 0.79360006 0.22148254 0.79571764 0.6271866  0.89055871 0.42338496
 0.33818266 0.13182123]",0.09196885828495613
"[0.6375674  0.15054855 0.17733411 0.60095731 0.35399755 0.56603208
 0.67625657 0.80597544 0.19017283 0.02940491 0.88508305 0.04648767
 0.40345168 0.56775485 0.73199252 0.64385508 0.73820985 0.10776537
 0.830933   0.17220106 0.76505738 0.5841717  0.89946933 0.42857658
 0.37161893 0.15972397]",0.10911126313454099
"[0.62034009 0.18747346 0.17890975 0.59150586 0.38393148 0.566531
 0.6685784  0.79980518 0.22847766 0.00658009 0.87361895 0.05390043
 0.42693171 0.53883679 0.6918033  0.65867925 0.71329811 0.09815899
 0.82729589 0.19187961 0.77839074 0.60184254 0.8885276  0.43201287
 0.38399263 0.15759622]",0.03276445477379878
"[0.63038844 0.17744418 0.16915068 0.58663689 0.38311432 0.5356533
 0.6959531  0.79590225 0.18144623 0.00711473 0.90695935 0.06836183
 0.41962649 0.51985553 0.7058913  0.64673947 0.73081373 0.1178547
 0.81214694 0.1898149  0.74833959 0.59940506 0.88241225 0.41019043
 0.36741319 0.13682119]",0.03302969637914991
"[0.64526496 0.16753167 0.15804676 0.58794298 0.37164009 0.54638431
 0.70176823 0.80346254 0.20888028 0.00711473 0.88194434 0.07701138
 0.40274462 0.56219398 0.71875899 0.65362429 0.71329811 0.10228769
 0.82729589 0.19039735 0.75269599 0.5841717  0.87207487 0.4142848
 0.38433749 0.13334253]",0.031873921242777166
"[0.62034009 0.15714692 0.17059178 0.60306611 0.39342504 0.56757958
 0.70213175 0.80040798 0.20428266 0.02834444 0.86628982 0.06602764
 0.43468657 0.54748863 0.69559031 0.64656479 0.71329811 0.08144927
 0.82513827 0.1898149  0.75104702 0.57177391 0.89055871 0.41231978
 0.4005738  0.1473865 ]",0.10376203664043583
"[0.60858111 0.15737745 0.18698562 0.60253676 0.37164009 0.56156048
 0.67399062 0.80008471 0.21236504 0.01572685 0.90441984 0.0553045
 0.44168906 0.54401662 0.6967354  0.66692026 0.73193842 0.09878598
 0.83372326 0.18723704 0.75356086 0.57075314 0.87991125 0.3882259
 0.38440651 0.13248255]",0.07544334407674655
"[0.64178712 0.16753167 0.15489063 0.60306611 0.37164009 0.54741239
 0.69269683 0.76732206 0.22265524 0.01195078 0.86285434 0.0553045
 0.44215221 0.54401662 0.73975052 0.64656479 0.72717809 0.1110473
 0.81639661 0.19633917 0.75117648 0.60372029 0.89055871 0.41019043
 0.36397773 0.12727968]",0.06350877382380436
"[0.60589159 0.16753167 0.16259756 0.62225474 0.37992856 0.55472754
 0.6803407  0.80219434 0.19504112 0.03063801 0.90173203 0.05232577
 0.42345905 0.54253839 0.70264628 0.64656479 0.71598294 0.11115792
 0.82729589 0.21119663 0.76700764 0.5841717  0.91461972 0.40432416
 0.38433749 0.1473865 ]",0.10724919551405977
"[0.60517309 0.16753167 0.17890975 0.57877243 0.35903259 0.54638431
 0.71712885 0.81148019 0.20385064 0.02874048 0.87863466 0.0553045
 0.4355796  0.55340123 0.7348757  0.64656479 0.69980903 0.11735061
 0.80597092 0.18935232 0.76149369 0.5841717  0.91287804 0.38952058
 0.36280611 0.12498948]",0.10241695845066534
"[0.62736077 0.16773386 0.14482699 0.59007835 0.3828237  0.55756364
 0.69935197 0.78134807 0.1923541  0.02856875 0.8922717  0.09976281
 0.39207194 0.54849694 0.70987685 0.62981706 0.72847492 0.08722402
 0.81510769 0.20580674 0.75384567 0.60142836 0.88501881 0.39212034
 0.39484832 0.15829976]",0.10708461136913709
