Solution,RMSE,C1,C2
"[0.25332356 0.17870954 0.92383358 0.55030321 0.86326936 0.92358674
 0.81765955 0.02862271 0.85751849 0.19367484 0.26313933 0.61003394
 0.49120811 0.36679241 0.49297407 0.11830988 0.14482665 0.52489289
 0.53708075 0.44038573 0.97999752 0.67118911 0.3534588  0.45596737
 0.87050895 0.68613433 0.17332751 0.80077082 0.59836057 0.56253461
 0.4164727  0.5054346 ]",0.03633764926116488,0.00017659127096248534,-0.007657309801216044
"[0.25775538 0.17827162 0.81887805 0.52426984 0.90749789 0.85831915
 0.81910828 0.1133477  0.73048357 0.18128687 0.36772833 0.61003394
 0.48392844 0.53899078 0.43047833 0.02165129 0.11507804 0.39560566
 0.68080648 0.6207156  0.9913339  0.76490693 0.35372945 0.450119
 0.90437744 0.48101363 0.25008608 0.80077082 0.62797065 0.58971434
 0.40933488 0.30785314]",0.03635728796194131,0.002903093708655994,-0.0037510343269600392
"[0.25775538 0.16363592 0.92383358 0.55030321 0.8740499  0.96331442
 0.83055012 0.02189598 0.84987443 0.19367484 0.26499068 0.58634129
 0.4878981  0.35842719 0.47396234 0.11830988 0.12951424 0.54488817
 0.53647085 0.44038573 0.97969151 0.65593195 0.36979533 0.450119
 0.86036123 0.6785243  0.16601618 0.80580936 0.58736056 0.56253461
 0.43096802 0.51146155]",0.03642259519281426,0.0020007076046085932,-0.0081206974633843
"[0.25039042 0.17870954 0.95798434 0.5510649  0.8740499  0.95190551
 0.83055012 0.04268806 0.85751849 0.19367484 0.21694828 0.61003394
 0.52629263 0.36679241 0.47622327 0.10148097 0.14482665 0.51111715
 0.51978528 0.45028836 0.98751037 0.63221063 0.37858108 0.48226197
 0.90672508 0.68613433 0.17665995 0.80077082 0.58736056 0.51892921
 0.40235173 0.5054346 ]",0.03644896816346494,0.00199425509229971,-0.0076968693978569334
"[0.25775538 0.20508655 0.94282218 0.51928427 0.84134617 0.94122139
 0.83194088 0.05087092 0.85751849 0.128932   0.18920161 0.65752667
 0.48392844 0.39300826 0.43047833 0.07533038 0.15899999 0.50371574
 0.49568789 0.46001097 0.99055951 0.65593195 0.34420183 0.450119
 0.86036123 0.64070852 0.19220242 0.75752583 0.62211694 0.52192696
 0.40933488 0.46238697]",0.03646226187307511,5.20869126886328e-05,-0.007544695088072095
"[0.25775538 0.17870954 0.92383358 0.55030321 0.8740499  0.94122139
 0.83055012 0.02862271 0.85751849 0.19367484 0.26313933 0.61003394
 0.48392844 0.36679241 0.47396234 0.11830988 0.14482665 0.52489408
 0.53647085 0.44038573 0.97999752 0.65593195 0.35372945 0.450119
 0.86036123 0.68613433 0.16601618 0.80077082 0.58736056 0.56253461
 0.40933488 0.5054346 ]",0.036597382486028465,-0.0002300229768134529,-0.008037667732388055
"[0.25775538 0.17870954 0.92381069 0.55030321 0.85147284 0.91836281
 0.83055012 0.01804254 0.83710622 0.1989003  0.26313933 0.62125705
 0.49861263 0.36679241 0.48462285 0.13342538 0.14482665 0.52489408
 0.52796609 0.44038573 0.96401226 0.65593195 0.33038552 0.42906278
 0.83909706 0.66246776 0.16601618 0.81135405 0.58736056 0.56253461
 0.40933488 0.5054346 ]",0.036680703875899785,-0.00012069290661393534,-0.007218367519234428
"[0.25775538 0.17827162 0.92383358 0.55030321 0.8686603  0.94122139
 0.83194088 0.05087092 0.85751849 0.15897658 0.2332579  0.61003394
 0.48392844 0.36679241 0.43047833 0.11830988 0.15899999 0.53529359
 0.53647085 0.46001097 0.9913339  0.65593195 0.35372945 0.450119
 0.86036123 0.66374537 0.15329297 0.80077082 0.62797065 0.52192696
 0.40933488 0.46238697]",0.03669269791570932,-0.0003406861459343963,-0.007997250290838712
"[0.25775538 0.19251444 0.93974785 0.52829747 0.8740499  0.94122139
 0.83055012 0.02862271 0.85751849 0.223949   0.26313933 0.65228115
 0.48392844 0.4006243  0.47396234 0.12329559 0.10098162 0.50151797
 0.52543702 0.44672312 0.96526198 0.66113582 0.35372945 0.44251827
 0.89582035 0.6638472  0.12034538 0.82782046 0.61829278 0.56253461
 0.37017469 0.5054346 ]",0.03670744225585912,-0.00019817810679129827,-0.007661282023024433
"[0.23940211 0.19955643 0.92383358 0.54921866 0.89862869 0.94122139
 0.85339591 0.02862271 0.83452063 0.17030618 0.25114852 0.59235956
 0.48157274 0.35759325 0.45328061 0.11830988 0.13129685 0.53958537
 0.51902426 0.44498539 0.99247646 0.65593195 0.3743654  0.46545787
 0.86036123 0.69068807 0.16601618 0.80077082 0.58736056 0.54539985
 0.4108351  0.5054346 ]",0.03672064302035078,-0.0004678697446163019,-0.008285528294350544
