Solution,RMSE
"[0.76452324 0.07551623 0.37476525 0.58474581 0.31426456 0.73349406
 0.54432043 0.88992334 0.18335589 0.00579675 0.92424961 0.21573757
 0.18283194 0.42264893 0.6722893  0.47777162 0.74151456 0.09772863
 0.87356359 0.11162222 0.94310355 0.90127324 0.91403017 0.23234484
 0.4443094  0.10200489]",0.029703114006823055
"[0.76439548 0.07519958 0.37480248 0.58510556 0.31432923 0.7332903
 0.5444004  0.88993045 0.18330683 0.00579116 0.92459888 0.21569926
 0.1829017  0.42253969 0.67232816 0.47809615 0.7418303  0.09782625
 0.87376394 0.11158681 0.94292277 0.90107565 0.9138693  0.23206905
 0.44403159 0.10200489]",0.02970418952004865
"[0.76441295 0.0752059  0.37482241 0.58508867 0.31433172 0.73328247
 0.54439776 0.88990817 0.1832915  0.00580502 0.92460013 0.21570931
 0.18290466 0.42253571 0.67232816 0.47809228 0.74185823 0.09782795
 0.87373563 0.11158299 0.94291147 0.90104969 0.91391049 0.23208715
 0.44404153 0.10199698]",0.029705844348557896
"[0.76439205 0.07517139 0.37482085 0.58507946 0.31430516 0.73328299
 0.54439776 0.88991435 0.18332733 0.00579166 0.92460382 0.21570931
 0.1829276  0.42251352 0.67232816 0.47809422 0.74183971 0.09783764
 0.87374844 0.11160259 0.94289845 0.90104092 0.91387845 0.23207374
 0.4440539  0.1019984 ]",0.02970763202946003
"[0.76441083 0.07518688 0.3748042  0.58510656 0.3143134  0.7332716
 0.54439776 0.88993376 0.18332237 0.00580655 0.92460847 0.21571754
 0.18291343 0.42251536 0.67233269 0.47808802 0.74183586 0.09782894
 0.87374201 0.11158387 0.94292823 0.9010487  0.91389512 0.23207608
 0.44402934 0.10201517]",0.029709589984432287
"[0.76442016 0.07506833 0.3748835  0.58514988 0.31426032 0.73320191
 0.54439593 0.88977689 0.18339448 0.00579675 0.92455933 0.21557454
 0.18294369 0.42251221 0.67248131 0.47821725 0.74190396 0.09760231
 0.87368566 0.11144642 0.94291348 0.90115959 0.91401299 0.23183812
 0.44414866 0.10194077]",0.02971000198480573
"[0.76438522 0.07519085 0.37470636 0.5851167  0.31422384 0.73317687
 0.54446164 0.88986933 0.18335741 0.00579675 0.92455933 0.21573757
 0.18289426 0.42253883 0.67240522 0.47810709 0.74189998 0.09772863
 0.87379225 0.11165082 0.94282398 0.90100803 0.91381345 0.23197977
 0.44402753 0.10191168]",0.029710063704120007
"[0.76446957 0.07512209 0.37476525 0.5850551  0.31420847 0.73311784
 0.54433621 0.88986933 0.18344816 0.00580975 0.92462001 0.21573757
 0.18300393 0.42245977 0.67238682 0.47798924 0.74197394 0.09770734
 0.87381191 0.1115313  0.94281596 0.90106076 0.91395797 0.23200762
 0.44415427 0.10196303]",0.02971020252344132
"[0.76440339 0.07521615 0.37485099 0.58518825 0.31435339 0.73329045
 0.54439776 0.88990354 0.18331018 0.00578954 0.92458672 0.21569671
 0.18292313 0.42253686 0.67239263 0.47806695 0.74179628 0.09779537
 0.87377044 0.11162222 0.9428599  0.90100077 0.91389188 0.23206911
 0.44406855 0.10199485]",0.029712046413370146
"[0.76438878 0.07521036 0.37481615 0.58510295 0.31432108 0.73327224
 0.54439683 0.88992061 0.18332274 0.00581008 0.92459261 0.21570931
 0.18292313 0.42249279 0.67232347 0.47809422 0.74184618 0.09783193
 0.87374992 0.11158817 0.94294005 0.90107865 0.91387696 0.23210488
 0.44404132 0.10199882]",0.02971385696520642
