Time_Sim [s],Voltage_Sim [V],Time_Exp [s],Voltage_Exp [V]
4974.53947368421,3.288402460397891,4974.53947368421,3.2863379736842107
5034.473684210526,3.2884159354028197,5034.473684210525,3.2858616578947366
5094.407894736842,3.2884255062123504,5094.4078947368425,3.285374414473684
5154.3421052631575,3.2884306592946624,5154.3421052631575,3.2848401842105264
5214.276315789473,3.2884307753620954,5214.276315789473,3.2842897960526316
5274.210526315789,3.288425119382727,5274.21052631579,3.2837061052631578
5334.144736842105,3.2884128233959347,5334.144736842105,3.283119532894737
5394.078947368421,3.288392879250718,5394.078947368421,3.2824787236842106
5454.013157894737,3.2883641304384064,5454.013157894736,3.281809677631579
5513.9473684210525,3.288325270037453,5513.9473684210525,3.281115447368421
5573.881578947368,3.288274844250488,5573.881578947368,3.2803985394736843
5633.815789473684,3.288211255624086,5633.815789473683,3.279634539473684
