Test_Time(s),Voltage(V)
912.6924,4.893265
913.6927,4.893021
914.6925,4.894058
915.693,4.893448
916.6926,4.892776
917.6923,4.893082
918.6924,4.893295
919.6923,4.893661
920.6923,4.892441
921.6924,4.892807
922.6927,4.892715
923.6928,4.893661
924.6929,4.892105
925.6926,4.892654
926.6928,4.893814
927.6927,4.893631
928.693,4.892471
929.6927,4.893173
930.6924,4.891983
931.693,4.894333
932.6931,4.892746
933.693,4.893814
934.6931,4.892929
935.6928,4.892746
936.693,4.893509
937.6926,4.892929
938.6929,4.892868
939.693,4.893173
940.6929,4.893631
941.6924,4.893173
942.6925,4.89299
943.6928,4.891708
944.6925,4.892868
945.6927,4.892563
946.6923,4.892838
947.6928,4.892136
948.6927,4.891769
949.6926,4.892288
950.6925,4.892685
951.693,4.893112
952.6926,4.892624
953.6928,4.892105
954.6925,4.891953
955.6924,4.893143
956.6924,4.892136
957.6926,4.89183
958.6923,4.891068
959.6928,4.890579
960.6924,4.892136
961.6927,4.89119
962.6925,4.891373
963.6927,4.890335
964.6923,4.890274
965.6928,4.89061
966.693,4.889328
967.693,4.890244
968.6926,4.889084
969.693,4.889877
970.6927,4.889542
971.6925,4.890213
972.6924,4.889481
973.6928,4.888748
974.6925,4.888561
975.6924,4.888226
976.6926,4.888103
977.6931,4.88887
978.6929,4.888687
979.6926,4.888531
980.6928,4.887585
981.6924,4.889236
982.693,4.888748
983.6927,4.88847
984.6929,4.88792
985.6924,4.889542
986.6924,4.888931
987.6927,4.874672
988.6924,4.87632
989.6928,4.874855
990.6923,4.875496
991.6925,4.874825
992.6928,4.87397
993.6925,4.872993
994.6923,4.873726
995.6926,4.872932
996.6928,4.873421
997.6927,4.870766
998.6924,4.871773
999.6926,4.870674
1000.6927,4.869789
1001.6925,4.870186
1002.6929,4.870766
1003.6928,4.870186
1004.6928,4.869423
1005.6924,4.870186
1006.6925,4.870003
1007.6928,4.869423
1008.693,4.870399
1009.6925,4.870491
1010.693,4.869759
1011.6924,4.869576
1012.6923,4.869057
1013.6928,4.86869
1014.6925,4.868019
1015.6926,4.867714
1016.6925,4.868172
1017.6931,4.868721
1018.6924,4.867897
1019.6927,4.867897
1020.6927,4.867958
1021.6927,4.867989
1022.6925,4.868263
1023.6924,4.868843
1024.6926,4.868629
1025.6923,4.869331
1026.6924,4.869881
1027.6926,4.870338
1028.6926,4.869698
1029.6924,4.869881
1030.6925,4.870125
1031.6925,4.86924
1032.6924,4.869484
1033.6923,4.867531
1034.6928,4.868172
1035.6923,4.867317
1036.693,4.866402
1037.6931,4.867256
1038.6924,4.866402
1039.6927,4.865852
1040.6923,4.866005
1041.6927,4.865273
1042.6928,4.864506
1043.6931,4.864475
1044.6924,4.863102
1045.6927,4.863377
1046.6923,4.864628
1047.6924,4.863407
1048.6929,4.863804
1049.6928,4.863651
1050.6929,4.864048
1051.6926,4.864567
1052.6925,4.864658
1053.6924,4.864323
1054.6926,4.865456
1055.6923,4.865578
1056.6928,4.865334
1057.6923,4.865395
1058.6929,4.866493
1059.6924,4.864937
1060.6926,4.86417
1061.6923,4.864323
1062.6931,4.863712
1063.6931,4.864353
1064.6929,4.863712
1065.6925,4.862522
1066.6928,4.861759
1067.6925,4.861332
1068.6929,4.861027
1069.6926,4.860416
1070.6929,4.86005
1071.6927,4.861118
1072.6927,4.859531
1073.6925,4.859928
1074.6927,4.858372
1075.6926,4.858768
1076.6928,4.858128
1077.6924,4.858494
1078.6923,4.85828
1079.6928,4.858006
1080.6929,4.856571
1081.6926,4.855991
1082.6928,4.857456
1083.6923,4.856266
1084.6926,4.856358
1085.6925,4.855534
1086.6929,4.856236
1087.6925,4.855656
1088.6925,4.855686
1089.6924,4.854893
1090.6929,4.854527
1091.6923,4.85471
1092.6927,4.854465
1093.6929,4.855137
1094.6928,4.854313
1095.6929,4.853855
1096.6929,4.852909
1097.6923,4.853672
1098.6924,4.852818
1099.6924,4.852142
1100.6931,4.851563
1101.6924,4.853153
1102.6929,4.851471
1103.6926,4.852356
1104.6924,4.85141
1105.6926,4.851532
1106.6928,4.851532
1107.6924,4.851654
1108.6926,4.850769
1109.6928,4.850983
1110.6929,4.849762
1111.6925,4.85025
1112.6931,4.849304
1113.6929,4.849823
1114.6926,4.849579
1115.6931,4.848846
1116.6924,4.848145
1117.6927,4.849213
1118.6926,4.848541
1119.6924,4.847687
1120.6926,4.847748
1121.6929,4.848267
1122.693,4.846588
1123.6927,4.846832
1124.6928,4.846375
1125.6927,4.846375
1126.6926,4.847076
1127.6928,4.846283
1128.693,4.844452
1129.6926,4.84552
1130.6928,4.844452
1131.6928,4.845245
1132.6926,4.843842
1133.6929,4.844177
1134.6927,4.843475
1135.6926,4.843506
1136.6924,4.84314
1137.693,4.844269
1138.6926,4.842865
1139.6927,4.844635
1140.6927,4.843933
1141.6925,4.843781
1142.6928,4.843811
1143.6927,4.843628
1144.6926,4.844879
1145.6927,4.842682
1146.6927,4.843964
1147.6925,4.844299
1148.6929,4.842773
1149.6925,4.844116
1150.6927,4.843079
1151.6925,4.842194
1152.6927,4.843018
1153.6925,4.842224
1154.6929,4.841949
1155.693,4.841522
1156.6926,4.840298
1157.6927,4.84079
1158.6924,4.839809
1159.693,4.838985
1160.6924,4.838284
1161.693,4.838955
1162.6926,4.838436
1163.6923,4.838039
1164.6926,4.838253
1165.6926,4.836483
1166.6929,4.837124
1167.6924,4.836758
1168.6926,4.836086
1169.6924,4.836727
1170.6927,4.835354
1171.6925,4.835079
1172.6923,4.835049
1173.6929,4.835384
1174.6926,4.834805
1175.6924,4.83511
1176.6927,4.834347
1177.6929,4.834225
1178.6926,4.834042
1179.6929,4.832577
1180.6931,4.832577
1181.6928,4.831509
1182.6926,4.831417
1183.6926,4.829739
1184.6929,4.828636
1185.6924,4.827629
1186.6925,4.82766
1187.6928,4.827751
1188.6927,4.826897
1189.6928,4.826683
1190.6923,4.824303
1191.6924,4.824211
1192.6926,4.82534
1193.6929,4.824455
1194.6929,4.825157
1195.6923,4.824364
1196.6928,4.823357
1197.6924,4.822807
1198.6926,4.823936
1199.6928,4.823112
1200.6924,4.822624
1201.6926,4.82177
1202.6928,4.821678
1203.6926,4.822411
1204.6927,4.822044
1205.6925,4.821465
1206.6928,4.820488
1207.6929,4.820091
1208.6926,4.818718
1209.6927,4.818443
1210.693,4.817772
1211.6923,4.817253
1212.693,4.816887
1213.6926,4.817009
1214.6928,4.815968
1215.693,4.815052
1216.6926,4.815113
1217.6926,4.814594
1218.6924,4.814381
1219.6927,4.813984
1220.6928,4.813374
1221.6928,4.811451
1222.6929,4.812122
1223.6926,4.812336
1224.693,4.810261
1225.6929,4.81081
1226.693,4.809589
1227.6927,4.809406
1228.693,4.807636
1229.6929,4.806843
1230.6928,4.806599
1231.6929,4.806477
1232.6931,4.806171
1233.6927,4.804733
1234.6926,4.804092
1235.6928,4.803238
1236.6927,4.80336
1237.6926,4.802505
1238.6925,4.802353
1239.6925,4.801529
1240.6929,4.801865
1241.6928,4.801315
1242.6927,4.802017
1243.6926,4.8022
1244.6927,4.801224
1245.693,4.799545
1246.6926,4.799881
1247.6929,4.798782
1248.6928,4.797226
1249.6926,4.795883
1250.6925,4.795731
1251.6924,4.79454
1252.6924,4.793472
1253.6928,4.792522
1254.6926,4.79118
1255.6926,4.789471
1256.6927,4.791119
1257.6924,4.78828
1258.6927,4.786785
1259.6928,4.786114
1260.6929,4.785992
1261.6926,4.785534
1262.6923,4.784313
1263.6925,4.783825
1264.6926,4.783337
1265.6931,4.782177
1266.6924,4.783703
1267.6923,4.783306
1268.6927,4.781628
1269.6924,4.782421
1270.6925,4.780739
1271.6929,4.779793
1272.6926,4.778633
1273.693,4.777931
