sample_idx,rmse
138,0.18651667467026645
139,0.2786215114692131
140,0.2716429503008235
141,0.253423567349942
142,0.18837504706710234
143,0.04049727120591435
144,0.2009920329349536
145,0.18731886903055991
146,0.25139199463581124
147,0.26025491224194996
148,0.18651667467026645
149,0.18674476474824311
150,0.18652396520384704
151,0.18651667467026645
152,0.19355824798776014
153,0.18651667467026645
154,0.18652069985694517
155,0.18660318209861165
156,0.18654161580594672
157,0.18651706801097698
158,0.18651241253243953
159,0.21211386397501095
160,0.2735328214072163
161,0.309478230701119
162,0.30070742265215494
163,0.30710135943617395
164,0.28692035507275326
165,0.32708409175176006
166,0.3083777970593997
167,0.28746862465347783
168,0.3216853393475841
169,0.294345791514492
170,0.28833582643724964
171,0.2880552758208695
172,0.28832643360986177
173,0.28833582643724964
174,0.31917746832236554
175,0.28833582643724964
176,0.2883332429988781
177,0.2882249147043221
178,0.28829860908209487
179,0.28833534625950474
180,0.28834176761687175
181,0.30418581942815504
182,0.2947900257275885
183,0.28833582643724964
184,0.07630065653073417
185,0.0834771330794573
186,0.06864034795134902
187,0.047885490420082825
188,0.2126105033691314
189,0.07593673613354503
190,0.07962622331668762
191,0.07640890270785329
192,0.04148181817651266
193,0.06292485975723794
194,0.07630065653073417
195,0.0764179194975218
196,0.07621922126560329
197,0.07630065653073417
198,0.07625408362641069
199,0.07630065653073417
200,0.0763008084366501
201,0.07680212976663647
202,0.0764408053159908
203,0.07630015425282916
204,0.07629890937200827
205,0.07629823316657956
206,0.07629844688783695
207,0.2777946448720825
208,0.2804762267048405
209,0.24757850560374575
210,0.22760131897022576
211,0.30079632887890234
212,0.2754555053534436
213,0.3015156410832738
214,0.2678998239465531
215,0.3003312629964676
216,0.30091439016966487
217,0.30110750038406686
218,0.30075119107019477
219,0.30091439016966487
220,0.30050562918346485
221,0.30091439016966487
222,0.30091517023401887
223,0.30141836941227435
224,0.30114267015955837
225,0.30091295585364536
226,0.30091007200264597
227,0.30093186050065796
228,0.30093488035964794
229,0.30091439016966487
230,0.07112477117598452
231,0.29585142178412754
232,0.05215143708513829
233,0.087233924200847
234,0.09065613761614319
